%Date	Daily Average Bottom Temperaure C (deg)-26 m. depth
2005 08 24 00 00 00	29.27
2005 08 25 00 00 00	29.41
2005 08 26 00 00 00	29.33
2005 08 27 00 00 00	29.29
2005 08 28 00 00 00	29.09
2005 08 29 00 00 00	29.07
2005 08 30 00 00 00	29.04
2005 08 31 00 00 00	29.34
2005 09 01 00 00 00	29.53
2005 09 02 00 00 00	29.55
2005 09 03 00 00 00	29.85
2005 09 04 00 00 00	29.82
2005 09 05 00 00 00	29.59
2005 09 06 00 00 00	29.24
2005 09 07 00 00 00	28.11
2005 09 08 00 00 00	27.23
2005 09 09 00 00 00	27.39
2005 09 10 00 00 00	27.56
2005 09 11 00 00 00	27.75
2005 09 12 00 00 00	28.41
2005 09 13 00 00 00	27.94
2005 09 14 00 00 00	28.30
2005 09 15 00 00 00	28.61
2005 09 16 00 00 00	28.57
2005 09 17 00 00 00	28.70
2005 09 18 00 00 00	28.77
2005 09 19 00 00 00	28.68
2005 09 20 00 00 00	28.76
2005 09 21 00 00 00	28.82
2005 09 22 00 00 00	28.81
2005 09 23 00 00 00	28.73
2005 09 24 00 00 00	-1000.00
2005 09 25 00 00 00	28.64
2005 09 26 00 00 00	28.51
2005 09 27 00 00 00	28.46
2005 09 28 00 00 00	28.45
2005 09 29 00 00 00	28.43
2005 09 30 00 00 00	28.27
2005 10 01 00 00 00	28.37
2005 10 02 00 00 00	-1000.00
2005 10 03 00 00 00	-1000.00
2005 10 04 00 00 00	-1000.00
2005 10 05 00 00 00	-1000.00
2005 10 06 00 00 00	-1000.00
2005 10 07 00 00 00	-1000.00
2005 10 08 00 00 00	-1000.00
2005 10 09 00 00 00	-1000.00
2005 10 10 00 00 00	-1000.00
2005 10 11 00 00 00	27.47
2005 10 12 00 00 00	27.38
2005 10 13 00 00 00	26.41
2005 10 14 00 00 00	25.25
2005 10 15 00 00 00	26.29
2005 10 16 00 00 00	26.49
2005 10 17 00 00 00	26.32
2005 10 18 00 00 00	26.38
2005 10 19 00 00 00	26.40
2005 10 20 00 00 00	26.06
2005 10 21 00 00 00	25.91
2005 10 22 00 00 00	25.57
2005 10 23 00 00 00	24.62
2005 10 24 00 00 00	24.28
2005 10 25 00 00 00	-1000.00
2005 10 26 00 00 00	23.66
2005 10 27 00 00 00	23.88
2005 10 28 00 00 00	24.07
2005 10 29 00 00 00	24.14
2005 10 30 00 00 00	24.17
2005 10 31 00 00 00	24.32
2005 11 01 00 00 00	24.16
2005 11 02 00 00 00	24.08
2005 11 03 00 00 00	23.98
2005 11 04 00 00 00	23.89
2005 11 05 00 00 00	23.63
2005 11 06 00 00 00	23.70
2005 11 07 00 00 00	23.35
2005 11 08 00 00 00	23.22
2005 11 09 00 00 00	23.21
2005 11 10 00 00 00	23.05
2005 11 11 00 00 00	23.06
2005 11 12 00 00 00	22.68
2005 11 13 00 00 00	22.69
2005 11 14 00 00 00	22.54
2005 11 15 00 00 00	22.55
2005 11 16 00 00 00	22.57
2005 11 17 00 00 00	22.52
2005 11 18 00 00 00	22.50
2005 11 19 00 00 00	22.46
2005 11 20 00 00 00	22.29
2005 11 21 00 00 00	22.12
2005 11 22 00 00 00	21.99
2005 11 23 00 00 00	21.77
2005 11 24 00 00 00	21.24
2005 11 25 00 00 00	21.47
2005 11 26 00 00 00	21.63
2005 11 27 00 00 00	21.73
2005 11 28 00 00 00	21.76
2005 11 29 00 00 00	21.83
2005 11 30 00 00 00	21.90
2005 12 01 00 00 00	21.91
2005 12 02 00 00 00	21.93
2005 12 03 00 00 00	21.98
2005 12 04 00 00 00	21.99
2005 12 05 00 00 00	21.93
2005 12 06 00 00 00	21.84
2005 12 07 00 00 00	21.84
2005 12 08 00 00 00	21.65
2005 12 09 00 00 00	21.78
2005 12 10 00 00 00	21.82
2005 12 11 00 00 00	21.68
2005 12 12 00 00 00	21.66
2005 12 13 00 00 00	21.67
2005 12 14 00 00 00	21.52
2005 12 15 00 00 00	21.60
2005 12 16 00 00 00	21.21
2005 12 17 00 00 00	20.77
2005 12 18 00 00 00	20.57
2005 12 19 00 00 00	20.67
2005 12 20 00 00 00	20.52
2005 12 21 00 00 00	20.50
2005 12 22 00 00 00	20.30
2005 12 23 00 00 00	20.29
2005 12 24 00 00 00	19.96
2005 12 25 00 00 00	19.49
2005 12 26 00 00 00	19.40
2005 12 27 00 00 00	18.95
2005 12 28 00 00 00	18.84
2005 12 29 00 00 00	18.76
2005 12 30 00 00 00	18.75
2005 12 31 00 00 00	18.93
2006 01 01 00 00 00	19.13
2006 01 02 00 00 00	19.27
2006 01 03 00 00 00	19.21
2006 01 04 00 00 00	18.50
2006 01 05 00 00 00	18.73
2006 01 06 00 00 00	18.87
2006 01 07 00 00 00	18.98
2006 01 08 00 00 00	18.84
2006 01 09 00 00 00	18.81
2006 01 10 00 00 00	18.66
2006 01 11 00 00 00	18.64
2006 01 12 00 00 00	18.20
2006 01 13 00 00 00	18.12
2006 01 14 00 00 00	18.08
2006 01 15 00 00 00	18.16
2006 01 16 00 00 00	18.10
2006 01 17 00 00 00	17.82
2006 01 18 00 00 00	18.09
2006 01 19 00 00 00	18.02
2006 01 20 00 00 00	17.85
2006 01 21 00 00 00	17.58
2006 01 22 00 00 00	17.66
2006 01 23 00 00 00	17.56
2006 01 24 00 00 00	17.81
2006 01 25 00 00 00	17.85
2006 01 26 00 00 00	17.65
2006 01 27 00 00 00	17.45
2006 01 28 00 00 00	17.77
2006 01 29 00 00 00	17.66
2006 01 30 00 00 00	17.72
2006 01 31 00 00 00	17.51
2006 02 01 00 00 00	17.43
2006 02 02 00 00 00	17.31
2006 02 03 00 00 00	17.20
2006 02 04 00 00 00	17.53
2006 02 05 00 00 00	17.64
2006 02 06 00 00 00	17.70
2006 02 07 00 00 00	17.75
2006 02 08 00 00 00	17.66
2006 02 09 00 00 00	17.26
2006 02 10 00 00 00	-1000.00
2006 02 11 00 00 00	-1000.00
2006 02 12 00 00 00	17.04
2006 02 13 00 00 00	17.10
2006 02 14 00 00 00	17.14
2006 02 15 00 00 00	17.26
2006 02 16 00 00 00	16.87
2006 02 17 00 00 00	16.67
2006 02 18 00 00 00	16.84
2006 02 19 00 00 00	16.76
2006 02 20 00 00 00	16.69
2006 02 21 00 00 00	16.79
2006 02 22 00 00 00	16.84
2006 02 23 00 00 00	17.16
2006 02 24 00 00 00	17.19
2006 02 25 00 00 00	17.28
2006 02 26 00 00 00	17.25
2006 02 27 00 00 00	17.25
2006 02 28 00 00 00	17.23
2006 03 01 00 00 00	17.26
2006 03 02 00 00 00	17.27
2006 03 03 00 00 00	17.28
2006 03 04 00 00 00	17.34
2006 03 05 00 00 00	17.48
2006 03 06 00 00 00	17.57
2006 03 07 00 00 00	17.54
2006 03 08 00 00 00	17.67
2006 03 09 00 00 00	17.45
2006 03 10 00 00 00	17.14
2006 03 11 00 00 00	17.12
2006 03 12 00 00 00	17.22
2006 03 13 00 00 00	17.34
2006 03 14 00 00 00	17.37
2006 03 15 00 00 00	17.71
2006 03 16 00 00 00	17.63
2006 03 17 00 00 00	17.76
2006 03 18 00 00 00	17.83
2006 03 19 00 00 00	17.88
2006 03 20 00 00 00	18.02
2006 03 21 00 00 00	18.09
2006 03 22 00 00 00	18.10
